"Freq","ymove","zmove","xmove","k","L1","L2","R1","R2"
6.78,-100,50,-100,-0.00730038590422337,2.16869514912073,3.58047120270995,487.6444186,708.9535674
6.78,-100,50,-50,0.00693681888919642,2.16999308290999,3.5346316859689,487.8982216,660.5654752
6.78,-100,50,0,0.0157573754072894,2.16687493465134,3.48527811445557,488.3324364,609.3559473
6.78,-100,50,50,0.00698719873233513,2.16456234242612,3.4377266173281,489.9822983,560.443697
6.78,-100,50,100,-0.00760484729386951,2.16038088346328,3.38555854254452,489.5087546,509.0346123
6.78,-50,50,-100,0.00389766089831205,2.17220431854386,3.58155022241889,486.5996028,707.7710154
6.78,-50,50,-50,0.0475590219100723,2.16339059477061,3.53335721083238,488.6700115,662.854243
6.78,-50,50,0,0.0716333426223174,2.15699142031441,3.48428860971162,489.4404864,610.0093402
6.78,-50,50,100,0.00369140561266223,2.15294748000794,3.38618355623341,492.0881701,508.3595277
6.78,0,50,-100,0.00939678985371927,2.15376866300564,3.59376931471518,487.7100351,708.5703841
6.78,0,50,-50,0.0652889211326503,2.1562016956461,3.55764063061874,488.430924,662.860944
6.78,0,50,0,0.0939342549805825,2.1609609826647,3.49475139453827,490.3088098,614.4504995
6.78,0,50,50,0.0662120132288144,2.1564189084038,3.44254603999705,489.3406045,560.019125
6.78,0,50,100,0.00977984324404347,2.16275251505753,3.39098894006828,490.0378953,509.9842291
6.78,50,50,-100,0.00432115680614242,2.16139622528168,3.61402555820268,489.0928041,708.8053112
6.78,50,50,-50,0.0488126885541502,2.15983396824167,3.56579940607408,491.1753278,660.3943462
6.78,50,50,0,0.0733732340933783,2.15650910329271,3.49893361868517,488.8108925,613.0390018
6.78,50,50,50,0.0493267618455426,2.15956436253359,3.44830829584254,490.3418144,560.0863658
6.78,50,50,100,0.00412358522049095,2.15152146086939,3.39948419484875,491.1381777,506.3241958
6.78,100,50,-100,-0.00691393755648782,2.15869591021538,3.6475645562867,491.1245823,712.269851
6.78,100,50,-50,0.00833969015905204,2.16517324502275,3.57527524034978,491.4508889,663.2886796
6.78,100,50,0,0.0176923702789298,2.15183331465333,3.55200396032041,491.6103695,608.9582457
6.78,100,50,50,0.00838057692330779,2.16585396501114,3.46985844672873,491.1007818,562.8044504
6.78,100,50,100,-0.0072702129727723,2.16499210796467,3.39435491674301,489.1155569,507.1387963
6.78,-100,100,-100,0.000361861639353175,2.15041613902565,3.5938853526616,489.504808,711.1871132
6.78,-100,100,-50,0.00698235437580676,2.14879095661654,3.55142394872202,492.7304969,658.0914638
6.78,-100,100,0,0.0104917228317848,2.15609933726956,3.49482063792342,488.8648645,609.7367558
6.78,-100,100,50,0.00703053977275432,2.16614257199528,3.44282562298268,491.1630337,563.322641
6.78,-100,100,100,0.000330980005386046,2.15757643809469,3.38992242784241,489.9989893,507.5191137
6.78,-50,100,-100,0.00629447619364281,2.15504935198163,3.57567558108478,487.1065475,709.879566
6.78,-50,100,50,0.0200493642515364,2.16602829531079,3.43399935449259,490.2392829,559.079252
6.78,-50,100,100,0.00637007322946934,2.17289921693468,3.38449460755391,489.224561,508.3689568
6.78,0,100,-100,0.00912046574141301,2.14716673342253,3.67857300806978,492.9410265,708.4141171
6.78,0,100,-50,0.0257171153738209,2.1483089127667,3.65456173269612,488.9186618,660.4471482
6.78,0,100,0,0.0347402547549425,2.16462578930178,3.48847685827453,489.0374536,612.0583006
6.78,0,100,50,0.0263408300661928,2.16299192583724,3.44397297037108,488.6535809,560.8306324
6.78,0,100,100,0.00938118736757466,2.15692016852508,3.43094846383322,489.8788796,509.4589754
6.78,50,100,-100,0.00647557788584734,2.15520484369551,3.60709382911233,489.8527395,710.3841382
6.78,50,100,-50,0.020180082152315,2.17977856609655,3.54558909168786,489.16368,663.452992
6.78,50,100,0,0.027486069899101,2.16093350269111,3.49101412827898,488.3059185,610.3315457
6.78,50,100,50,0.0204560094160441,2.16459416570696,3.45116329302157,491.7471436,562.0680531
6.78,50,100,100,0.00659735029842537,2.15725731008362,3.39082865275535,490.8237584,507.7549432
6.78,100,100,-100,0.00057971098235462,2.15990771072914,3.58778276517283,489.1760889,713.3921145
6.78,100,100,-50,0.00744942835424214,2.17339020483521,3.53515511740536,489.1625067,661.5509787
6.78,100,100,0,0.0111291979858746,2.16191975253518,3.48278725990038,488.5733512,609.6717523
6.78,100,100,50,0.00755160734443375,2.14961345542511,3.44191382564494,489.8806309,559.3645057
6.78,100,100,100,0.000547388320200211,2.16005358952112,3.38450366320103,489.0650143,510.4242359
6.78,-100,150,-100,0.00115243320233838,2.16651826395797,3.59596264727238,489.1783464,710.9984997
6.78,-100,150,-50,0.00401337029209951,2.15132979903178,3.59263056187897,490.4362742,659.3427603
6.78,-100,150,0,0.00539045201919873,2.15557789101521,3.52238404214182,491.5438069,609.0447463
6.78,-100,150,50,0.00408407228388635,2.1608082841908,3.43650175323271,491.4087873,557.5390391
6.78,-100,150,100,0.0011811756098291,2.15543728925224,3.3743226741303,490.6688432,510.770819
6.78,-50,150,-100,0.00387032011402336,2.16716274972526,3.5680502940064,488.3073675,710.5821454
6.78,-50,150,0,0.0110401042876288,2.16008643402834,3.47349336476214,489.5587586,610.7651509
6.78,-50,150,50,0.00881592535472043,2.16208758470628,3.4257335444201,490.4314176,558.625401
6.78,-50,150,100,0.00396717152089432,2.15489685985759,3.37638609362812,489.2418939,508.6229921
6.78,0,150,-100,0.00511649501357451,2.15747327178822,3.59957767874221,489.6080792,709.4574399
6.78,0,150,-50,0.010848249453716,2.16261845267517,3.54125463978956,489.3034466,659.6091868
6.78,0,150,0,0.0136029226634916,2.16598228151511,3.4834690181746,488.1589864,610.4204195
6.78,0,150,50,0.0109828479945486,2.16989107290715,3.42996382339155,488.1955167,558.4111248
6.78,0,150,100,0.00526558424003117,2.14905059732855,3.38224054288322,491.4934308,510.6304466
6.78,50,150,-100,0.00393458207309927,2.16765280920379,3.61136110080718,489.1482477,709.9807047
6.78,50,150,-50,0.00883923811420452,2.16038741674355,3.54825707770813,488.770365,659.2765247
6.78,50,150,0,0.011193446156196,2.15362936643791,3.50390855847181,490.3421244,609.73328
6.78,50,150,50,0.00894868483768841,2.16088395786235,3.44474949106134,489.683307,559.7597201
6.78,50,150,100,0.00405155491718646,2.15490337115442,3.38344896125772,491.0589912,511.3281959
6.78,100,150,-100,0.00125880624854446,2.1605952888175,3.60783540020954,489.09302,711.6879784
6.78,100,150,-50,0.00423349341714757,2.15927835665593,3.52435831540284,487.1337309,661.0338985
6.78,100,150,0,0.00564104583150195,2.16568550018776,3.47553351061597,489.3417526,610.8127857
6.78,100,150,50,0.00427452863784446,2.16657004957288,3.42542349660257,488.9037709,559.8512951
6.78,100,150,100,0.00129148222675443,2.14506433262452,3.37585017798357,491.78822,509.9660483
6.78,-100,200,-100,0.000662982081894606,2.14951116172663,3.53420290522249,491.1823104,709.462109
6.78,-100,200,-50,0.00175391248142179,2.15485369918087,3.4863638196379,491.0412174,658.5385697
6.78,-100,200,0,0.00224719698966704,2.16392138058407,3.41433989603994,490.5004473,611.9493663
6.78,-100,200,50,0.00178591275496047,2.15120636056912,3.35712364118192,490.7701144,559.1657764
6.78,-100,200,100,0.000681761909853861,2.15313796850071,3.31310857121456,491.1556964,508.2265593
6.78,-50,200,-100,0.00172049520221004,2.14784814905468,3.51455499798396,489.3150678,709.1587501
6.78,-50,200,-50,0.00336378120985662,2.16864176925443,3.46331642273611,488.5728589,656.9859158
6.78,-50,200,0,0.00412033372409509,2.16211322810858,3.40832300915894,488.8750462,607.4804009
6.78,-50,200,50,0.00341669328113296,2.15153060382948,3.37152838229964,491.8980737,558.2265615
6.78,-50,200,100,0.00176634624368668,2.14606079812226,3.31193223021848,491.3858697,509.1507667
6.78,0,200,-50,0.00410420161001235,2.15526906477925,3.43814293459351,488.8234485,659.4533184
6.78,0,200,0,0.00496982636033758,2.15244210301297,3.39661829252533,490.3673483,606.3975466
6.78,0,200,50,0.00415101122162785,2.15959348531826,3.34335790092368,490.9813859,559.3460823
6.78,0,200,100,0.00225199632897053,2.1483200077182,3.28923346175928,492.3518919,510.2373033
6.78,50,200,-100,0.00173666914513165,2.16734498308827,3.5515774976638,489.0499018,709.4793219
6.78,50,200,-50,0.00342419504006576,2.14959806131314,3.47439857795861,490.6044529,661.2856597
6.78,50,200,0,0.00418080341736744,2.15156729095666,3.42327379537077,491.3257671,610.2247064
6.78,50,200,50,0.00346324654168142,2.15110178590416,3.38143497695355,491.0976546,558.7010007
6.78,50,200,100,0.00179772784770952,2.15051217209074,3.3107996075426,489.6164103,508.764796
6.78,100,200,-100,0.000708830739338747,2.15711023259553,3.49827918450039,489.021941,706.7948352
6.78,100,200,-50,0.00183372833436188,2.15358598709479,3.44390841338647,486.8013966,658.7654227
6.78,100,200,0,0.00234322480153917,2.14945105866169,3.38707768653488,490.2657679,610.7120829
6.78,100,200,50,0.00185063863913016,2.17064262915272,3.33989741652336,489.5899735,560.1845168
6.78,100,200,100,0.000727674189441534,2.15013768512431,3.29598518508498,490.9002238,508.3372637
